Entity,Year,Total number of international immigrants
Luxembourg,2005,150618
Luxembourg,2010,163142
Luxembourg,2015,248888
Luxembourg,2020,298062
Luxembourg,2024,344309
Macao,1990,205047
Macao,1995,224929
Macao,2000,240791
Macao,2005,279308
Macao,2010,318506
Macao,2015,376066
Macao,2020,403490
Macao,2024,426862
Madagascar,1990,23917
Madagascar,1995,21177
Madagascar,2000,23541
Madagascar,2005,26058
Madagascar,2010,28905
Madagascar,2015,32075
Madagascar,2020,35563
Madagascar,2024,38625
Malawi,1990,1127724
Malawi,1995,241624
Malawi,2000,232620
Malawi,2005,221661
Malawi,2010,217722
Malawi,2015,197328
Malawi,2020,191362
Malawi,2024,186719
Malaysia,1990,1027572
Malaysia,1995,1312828
Malaysia,2000,1613819
Malaysia,2005,2174308
Malaysia,2010,3086876
Malaysia,2015,3513497
Malaysia,2020,3718696
Malaysia,2024,3806514
Maldives,1990,8689
Maldives,1995,18510
Maldives,2000,27092
Maldives,2005,45045
Maldives,2010,54659
Maldives,2015,64273
Maldives,2020,70079
Maldives,2024,75099
Mali,1990,160736
Mali,1995,176187
Mali,2000,189475
Mali,2005,258630
Mali,2010,341078
Mali,2015,420504
Mali,2020,485829
Mali,2024,545323
Malta,1990,15077
Malta,1995,17740
Malta,2000,21521
Malta,2005,24560
Malta,2010,33008
Malta,2015,52642
Malta,2020,114760
Malta,2024,199466
Marshall Islands,1990,1158
Marshall Islands,1995,1480
Marshall Islands,2000,1891
Marshall Islands,2005,2417
Marshall Islands,2010,3089
Marshall Islands,2015,3284
Marshall Islands,2020,3298
Marshall Islands,2024,3309
Martinique,1990,38705
Martinique,1995,46599
Martinique,2000,54492
Martinique,2005,57034
Martinique,2010,59575
Martinique,2015,69174
Martinique,2020,68624
Martinique,2024,68187
Mauritania,1990,111650
Mauritania,1995,89562
Mauritania,2000,57366
Mauritania,2005,58211
Mauritania,2010,84920
Mauritania,2015,166552
Mauritania,2020,182286
Mauritania,2024,195937
Mauritius,1990,3613
Mauritius,1995,7493
Mauritius,2000,15543
Mauritius,2005,19647
Mauritius,2010,24836
Mauritius,2015,28585
Mauritius,2020,28893
Mauritius,2024,29142
Mayotte,1990,15229
Mayotte,1995,26316
Mayotte,2000,45474
Mayotte,2005,63176
Mayotte,2010,72757
Mayotte,2015,81386
Mayotte,2020,111540
Mayotte,2024,143528
Melanesia,1990,91200
Melanesia,1995,96828
Melanesia,2000,95281
Melanesia,2005,103881
Melanesia,2010,110691
Melanesia,2015,119343
Melanesia,2020,124073
Melanesia,2024,128055
Mexico,1990,701513
Mexico,1995,458051
Mexico,2000,526172
Mexico,2005,701803
Mexico,2010,957593
Mexico,2015,1088731
Mexico,2020,1335154
Mexico,2024,1726089
Micronesia,1990,108969
Micronesia,1995,118687
Micronesia,2000,130186
Micronesia,2005,128390
Micronesia,2010,114743
Micronesia,2015,113466
Micronesia,2020,118860
Micronesia,2024,123424
Micronesia (country),1990,3685
Micronesia (country),1995,3342
Micronesia (country),2000,3116
Micronesia (country),2005,2905
Micronesia (country),2010,2806
Micronesia (country),2015,2756
Micronesia (country),2020,2832
Micronesia (country),2024,2894
Middle Africa (UN),1990,1461155
Middle Africa (UN),1995,2662490
Middle Africa (UN),2000,1775284
Middle Africa (UN),2005,1961951
Middle Africa (UN),2010,2436802
Middle Africa (UN),2015,3479911
Middle Africa (UN),2020,3861568
Middle Africa (UN),2024,4854994
Moldova,1990,533397
Moldova,1995,365099
Moldova,2000,250134
Moldova,2005,174263
Moldova,2010,132386
Moldova,2015,101730
Moldova,2020,77291
Moldova,2024,188207
Monaco,1990,20359
Monaco,1995,21060
Monaco,2000,21787
Monaco,2005,21312
Monaco,2010,21132
Monaco,2015,25983
Monaco,2020,26601
Monaco,2024,27106
Mongolia,1990,6718
Mongolia,1995,7424
Mongolia,2000,8206
Mongolia,2005,11477
Mongolia,2010,16062
Mongolia,2015,19886
Mongolia,2020,21345
Mongolia,2024,22589
Montenegro,1990,73743
Montenegro,1995,73743
Montenegro,2000,73743
Montenegro,2005,73743
Montenegro,2010,78512
Montenegro,2015,71719
Montenegro,2020,70999
Montenegro,2024,92237
Montserrat,1990,2013
Montserrat,1995,1612
Montserrat,2000,1211
Montserrat,2005,1244
Montserrat,2010,1291
Montserrat,2015,1351
Montserrat,2020,1379
Montserrat,2024,1402
Morocco,1990,54895
Morocco,1995,50360
Morocco,2000,53034
Morocco,2005,56222
Morocco,2010,71189
Morocco,2015,92424
Morocco,2020,102358
Morocco,2024,111069
Mozambique,1990,122332
Mozambique,1995,168256
Mozambique,2000,195702
Mozambique,2005,268694
Mozambique,2010,306471
Mozambique,2015,321794
Mozambique,2020,338850
Mozambique,2024,353143
Myanmar,1990,133545
Myanmar,1995,113663
Myanmar,2000,98011
Myanmar,2005,83025
Myanmar,2010,76414
Myanmar,2015,73309
Myanmar,2020,76446
Myanmar,2024,79052
Namibia,1990,120641
Namibia,1995,115372
Namibia,2000,135547
Namibia,2005,107347
Namibia,2010,103826
Namibia,2015,101618
Namibia,2020,109391
Namibia,2024,116035
Nauru,1990,2815
Nauru,1995,2605
Nauru,2000,2394
Nauru,2005,2253
Nauru,2010,906
Nauru,2015,1833
Nauru,2020,2201
Nauru,2024,2548
Nepal,1990,429974
Nepal,1995,690225
Nepal,2000,717900
Nepal,2005,680729
Nepal,2010,581889
Nepal,2015,509471
Nepal,2020,487564
Nepal,2024,470719
Netherlands,1990,1194306
Netherlands,1995,1397371
Netherlands,2000,1584638
Netherlands,2005,1735632
Netherlands,2010,1850649
Netherlands,2015,2024059
Netherlands,2020,2425521
Netherlands,2024,2956518
New Caledonia,1990,37673
New Caledonia,1995,43662
New Caledonia,2000,49651
New Caledonia,2005,55405
New Caledonia,2010,61158
New Caledonia,2015,68881
New Caledonia,2020,73141
New Caledonia,2024,76738
New Zealand,1990,526369
New Zealand,1995,594911
New Zealand,2000,685966
New Zealand,2005,855017
New Zealand,2010,956982
New Zealand,2015,1132201
New Zealand,2020,1343900
New Zealand,2024,1467989
Nicaragua,1990,41421
Nicaragua,1995,26619
Nicaragua,2000,30389
Nicaragua,2005,34919
Nicaragua,2010,37345
Nicaragua,2015,40261
Nicaragua,2020,42167
Nicaragua,2024,43757
Niger,1990,115464
Niger,1995,145999
Niger,2000,122260
Niger,2005,124509
Niger,2010,126482
Niger,2015,252998
Niger,2020,348056
Niger,2024,449236
Nigeria,1990,456621
Nigeria,1995,462999
Nigeria,2000,487882
Nigeria,2005,969714
Nigeria,2010,990494
Nigeria,2015,1199115
Nigeria,2020,1308568
Nigeria,2024,1403281
Niue,1990,461
Niue,1995,480
Niue,2000,498
Niue,2005,522
Niue,2010,589
Niue,2015,588
Niue,2020,588
Niue,2024,588
North America,1990,30477031
North America,1995,35889977
North America,2000,42737422
North America,2005,48347273
North America,2010,54085289
North America,2015,59455442
North America,2020,62875468
North America,2024,66140483
North Korea,1990,34103
North Korea,1995,35143
North Korea,2000,36183
North Korea,2005,40097
North Korea,2010,44010
North Korea,2015,48458
North Korea,2020,49549
North Korea,2024,50439
North Macedonia,1990,95142
North Macedonia,1995,109343
North Macedonia,2000,125665
North Macedonia,2005,127667
North Macedonia,2010,129701
North Macedonia,2015,130730
North Macedonia,2020,131311
North Macedonia,2024,150902
Northern Africa (UN),1990,2374205
Northern Africa (UN),1995,2075487
Northern Africa (UN),2000,1895038
Northern Africa (UN),2005,1753656
Northern Africa (UN),2010,1965200
Northern Africa (UN),2015,2284569
Northern Africa (UN),2020,3226461
Northern Africa (UN),2024,4874040
Northern Africa and Western Asia (UN),1990,16863681
Northern Africa and Western Asia (UN),1995,18573252
Northern Africa and Western Asia (UN),2000,20033534
Northern Africa and Western Asia (UN),2005,23016410
Northern Africa and Western Asia (UN),2010,32028416
Northern Africa and Western Asia (UN),2015,44083778
Northern Africa and Western Asia (UN),2020,48992329
Northern Africa and Western Asia (UN),2024,54085710
Northern America (UN),1990,27543267
Northern America (UN),1995,33404578
Northern America (UN),2000,40357995
Northern America (UN),2005,45658615
Northern America (UN),2010,51007867
Northern America (UN),2015,56019067
Northern America (UN),2020,58830556
Northern America (UN),2024,61207877
Northern Europe (UN),1990,6656282
Northern Europe (UN),1995,7237021
Northern Europe (UN),2000,7963939
Northern Europe (UN),2005,9668148
Northern Europe (UN),2010,11953254
Northern Europe (UN),2015,13955273
Northern Europe (UN),2020,16246850
Northern Europe (UN),2024,18543047
Northern Mariana Islands,1990,26593
Northern Mariana Islands,1995,32376
Northern Mariana Islands,2000,40122
Northern Mariana Islands,2005,37542
Northern Mariana Islands,2010,24168
Northern Mariana Islands,2015,21648
Northern Mariana Islands,2020,21843
Northern Mariana Islands,2024,22000
Norway,1990,192587
Norway,1995,233302
Norway,2000,292440
Norway,2005,361144
Norway,2010,524601
Norway,2015,746375
Norway,2020,852238
Norway,2024,1012404
Oceania,1990,4776548
Oceania,1995,5091137
Oceania,2000,5372431
Oceania,2005,6041977
Oceania,2010,7134959
Oceania,2015,8168067
Oceania,2020,9261819
Oceania,2024,9901164
Oman,1990,526784
Oman,1995,538639
Oman,2000,550760
Oman,2005,608416
Oman,2010,803387
Oman,2015,1827972
Oman,2020,1766142
Oman,2024,2283366
Pakistan,1990,6208204
Pakistan,1995,3669308
Pakistan,2000,4181912
Pakistan,2005,3174558
Pakistan,2010,3943681
Pakistan,2015,3506520
Pakistan,2020,3276580
Pakistan,2024,4175958
Palau,1990,2801
Palau,1995,4749
Palau,2000,6310
Palau,2005,6043
Palau,2010,5490
Palau,2015,4937
Palau,2020,5088
Palau,2024,5212
Palestine,1990,288332
Palestine,1995,281767
Palestine,2000,275202
Palestine,2005,274520
Palestine,2010,273840
Palestine,2015,273163
Palestine,2020,272784
Palestine,2024,272481
Panama,1990,62744
Panama,1995,70848
Panama,2000,83410
Panama,2005,109461
Panama,2010,157788
Panama,2015,184710
Panama,2020,313165
Panama,2024,477749
Papua New Guinea,1990,33710
Papua New Guinea,1995,33526
Papua New Guinea,2000,26304
Papua New Guinea,2005,29971
Papua New Guinea,2010,30425
Papua New Guinea,2015,30940
Papua New Guinea,2020,31068
Papua New Guinea,2024,31171
Paraguay,1990,195884
Paraguay,1995,186570
Paraguay,2000,176608
Paraguay,2005,168243
Paraguay,2010,160299
Paraguay,2015,156462
Paraguay,2020,169567
Paraguay,2024,180837
Peru,1990,48985
Peru,1995,56831
Peru,2000,66103
Peru,2005,77195
Peru,2010,102662
Peru,2015,152562
Peru,2020,1184762
Peru,2024,1837219
Philippines,1990,134600
Philippines,1995,145980
Philippines,2000,157361
Philippines,2005,168741
Philippines,2010,178147
Philippines,2015,131897
Philippines,2020,87212
Philippines,2024,87212
Poland,1990,1127393
Poland,1995,963028
Poland,2000,822627
Poland,2005,724887
Poland,2010,649114
Poland,2015,683663
Poland,2020,738099
Poland,2024,1739901
Polynesia,1990,58509
Polynesia,1995,65065
Polynesia,2000,71151
Polynesia,2005,73768
Polynesia,2010,72741
Polynesia,2015,70001
Polynesia,2020,70136
Polynesia,2024,70292
Portugal,1990,435782
Portugal,1995,532822
Portugal,2000,651472
Portugal,2005,771184
Portugal,2010,762825
Portugal,2015,864814
Portugal,2020,1001963
Portugal,2024,1127184
Puerto Rico,1990,321909
Puerto Rico,1995,338067
Puerto Rico,2000,355038
Puerto Rico,2005,352144
Puerto Rico,2010,304969
Puerto Rico,2015,280494
Puerto Rico,2020,247132
Puerto Rico,2024,223323
Qatar,1990,215508
Qatar,1995,307661
Qatar,2000,439215
Qatar,2005,643000
Qatar,2010,1409000
Qatar,2015,2090000
Qatar,2020,2182000
Qatar,2024,2337000
Reunion,1990,57210
Reunion,1995,77159
Reunion,2000,100678
Reunion,2005,115076
Reunion,2010,123029
Reunion,2015,127209
Reunion,2020,131769
Reunion,2024,135534
Romania,1990,135745
Romania,1995,134970
Romania,2000,134204
Romania,2005,139430
Romania,2010,148107
Romania,2015,212560
Romania,2020,338734
Romania,2024,655579
Russia,1990,11524948
Russia,1995,11928927
Russia,2000,11900297
Russia,2005,11667588
Russia,2010,11199727
Russia,2015,9098229
Russia,2020,7297611
Russia,2024,7605774
Rwanda,1990,160024
Rwanda,1995,215735
Rwanda,2000,347076
Rwanda,2005,423187
Rwanda,2010,426901
Rwanda,2015,514647
Rwanda,2020,513907
Rwanda,2024,513316
Saint Helena,1990,178
Saint Helena,1995,117
Saint Helena,2000,108
Saint Helena,2005,163
Saint Helena,2010,248
Saint Helena,2015,377
Saint Helena,2020,437
Saint Helena,2024,492
Saint Kitts and Nevis,1990,3210
Saint Kitts and Nevis,1995,4248
Saint Kitts and Nevis,2000,5871
Saint Kitts and Nevis,2005,6682
Saint Kitts and Nevis,2010,7245
Saint Kitts and Nevis,2015,7443
Saint Kitts and Nevis,2020,7725
Saint Kitts and Nevis,2024,7958
Saint Lucia,1990,5305
Saint Lucia,1995,7155
Saint Lucia,2000,9871
Saint Lucia,2005,9839
Saint Lucia,2010,9050
Saint Lucia,2015,8673
Saint Lucia,2020,8338
Saint Lucia,2024,8079
Saint Pierre and Miquelon,1990,1099
Saint Pierre and Miquelon,1995,1320
Saint Pierre and Miquelon,2000,1458
Saint Pierre and Miquelon,2005,1147
Saint Pierre and Miquelon,2010,1017
Saint Pierre and Miquelon,2015,986
Saint Pierre and Miquelon,2020,998
Saint Pierre and Miquelon,2024,1008
Saint Vincent and the Grenadines,1990,3970
Saint Vincent and the Grenadines,1995,4135
Saint Vincent and the Grenadines,2000,4307
Saint Vincent and the Grenadines,2005,4436
Saint Vincent and the Grenadines,2010,4569
Saint Vincent and the Grenadines,2015,4637
Saint Vincent and the Grenadines,2020,4738
Saint Vincent and the Grenadines,2024,4820
Samoa,1990,3357
Samoa,1995,4694
Samoa,2000,5998
Samoa,2005,5746
Samoa,2010,5122
Samoa,2015,4255
Samoa,2020,4021
Samoa,2024,3843
San Marino,1990,3310
San Marino,1995,3659
San Marino,2000,4045
San Marino,2005,4218
San Marino,2010,4880
San Marino,2015,5195
San Marino,2020,5543
San Marino,2024,5838
Sao Tome and Principe,1990,5582
Sao Tome and Principe,1995,4936
Sao Tome and Principe,2000,4365
Sao Tome and Principe,2005,3433
Sao Tome and Principe,2010,2700
Sao Tome and Principe,2015,2394
Sao Tome and Principe,2020,2139
Sao Tome and Principe,2024,1955
Saudi Arabia,1990,4484868
Saudi Arabia,1995,4853489
Saudi Arabia,2000,5219382
Saudi Arabia,2005,6605114
Saudi Arabia,2010,8976961
Saudi Arabia,2015,13251622
Saudi Arabia,2020,13071258
Saudi Arabia,2024,13683841
Senegal,1990,270410
Senegal,1995,287654
Senegal,2000,231901
Senegal,2005,238298
Senegal,2010,256092
Senegal,2015,266496
Senegal,2020,274929
Senegal,2024,281867
Serbia,1990,1064614
Serbia,1995,1543744
Serbia,2000,1419951
Serbia,2005,1078633
Serbia,2010,901044
Serbia,2015,797595
Serbia,2020,733091
Serbia,2024,712550
Seychelles,1990,3721
Seychelles,1995,5148
Seychelles,2000,6574
Seychelles,2005,8997
Seychelles,2010,11420
Seychelles,2015,12791
Seychelles,2020,13050
Seychelles,2024,13261
Sierra Leone,1990,222148
Sierra Leone,1995,98516
Sierra Leone,2000,97974
Sierra Leone,2005,146227
Sierra Leone,2010,79265
Sierra Leone,2015,58830
Sierra Leone,2020,53746
Sierra Leone,2024,49997
Singapore,1990,729377
Singapore,1995,993616
Singapore,2000,1319433
Singapore,2005,1494527
Singapore,2010,2160350
Singapore,2015,2535340
Singapore,2020,2589107
Singapore,2024,2841665
Sint Maarten (Dutch part),1990,23861
Sint Maarten (Dutch part),1995,23861
Sint Maarten (Dutch part),2000,23861
Sint Maarten (Dutch part),2005,13099
Sint Maarten (Dutch part),2010,26203
Sint Maarten (Dutch part),2015,27295
Sint Maarten (Dutch part),2020,28845
Sint Maarten (Dutch part),2024,30148
Slovakia,1990,41295
Slovakia,1995,69323
Slovakia,2000,116376
Slovakia,2005,130491
Slovakia,2010,146319
Slovakia,2015,177624
Slovakia,2020,197161
Slovakia,2024,323991
Slovenia,1990,178077
Slovenia,1995,174419
Slovenia,2000,214508
Slovenia,2005,217218
Slovenia,2010,253786
Slovenia,2015,237616
Slovenia,2020,277964
Slovenia,2024,315122
Small Island Developing States (SIDS),1990,2208579
Small Island Developing States (SIDS),1995,2621962
Small Island Developing States (SIDS),2000,3082560
Small Island Developing States (SIDS),2005,3341149
Small Island Developing States (SIDS),2010,4039607
Small Island Developing States (SIDS),2015,4603415
Small Island Developing States (SIDS),2020,4807366
Small Island Developing States (SIDS),2024,5308114
Solomon Islands,1990,4226
Solomon Islands,1995,4178
Solomon Islands,2000,3981
Solomon Islands,2005,3271
Solomon Islands,2010,2760
Solomon Islands,2015,2585
Solomon Islands,2020,2520
Solomon Islands,2024,2469
Somalia,1990,478294
Somalia,1995,19527
Somalia,2000,20097
Somalia,2005,20768
Somalia,2010,48106
Somalia,2015,40990
Somalia,2020,58590
Somalia,2024,77972
South Africa,1990,1285707
South Africa,1995,1006597
South Africa,2000,997703
South Africa,2005,1513855
South Africa,2010,2274466
South Africa,2015,3162564
South Africa,2020,2639076
South Africa,2024,2631100
South America,1990,4319559
South America,1995,4243306
South America,2000,4210082
South America,2005,4423159
South America,2010,5198444
South America,2015,5673584
South America,2020,10242853
South America,2024,12577921
South Korea,1990,18499
South Korea,1995,52719
South Korea,2000,144426
South Korea,2005,231744
South Korea,2010,566098
South Korea,2015,1312172
South Korea,2020,1723389
South Korea,2024,1811507
South Sudan,1990,652365
South Sudan,1995,652365
South Sudan,2000,652365
South Sudan,2005,652365
South Sudan,2010,230732
South Sudan,2015,844112
South Sudan,2020,882252
South Sudan,2024,914001
South-Eastern Asia (UN),1990,2637040
South-Eastern Asia (UN),1995,3250697
South-Eastern Asia (UN),2000,4608647
South-Eastern Asia (UN),2005,6040145
South-Eastern Asia (UN),2010,8567047
South-Eastern Asia (UN),2015,9631549
South-Eastern Asia (UN),2020,10242239
South-Eastern Asia (UN),2024,11029593
Southern Africa (UN),1990,1517089
Southern Africa (UN),1995,1204498
Southern Africa (UN),2000,1248435
Southern Africa (UN),2005,1745545
Southern Africa (UN),2010,2512206
Southern Africa (UN),2015,3408739
Southern Africa (UN),2020,2903653
Southern Africa (UN),2024,2911844
Southern Asia (UN),1990,19155930
Southern Asia (UN),1995,15227642
Southern Asia (UN),2000,14930955
Southern Asia (UN),2005,13636926
Southern Asia (UN),2010,14439064
Southern Asia (UN),2015,13914922
Southern Asia (UN),2020,13914646
Southern Asia (UN),2024,16459536
Southern Europe (UN),1990,5472616
Southern Europe (UN),1995,7250345
Southern Europe (UN),2000,8585552
Southern Europe (UN),2005,11897749
Southern Europe (UN),2010,15213351
Southern Europe (UN),2015,15507903
Southern Europe (UN),2020,17716268
Southern Europe (UN),2024,20119984
Spain,1990,813588
Spain,1995,1258176
Spain,2000,2023886
Spain,2005,4372449
Spain,2010,6281193
Spain,2015,5892847
Spain,2020,7146130
Spain,2024,8870527
Sri Lanka,1990,41561
Sri Lanka,1995,40841
Sri Lanka,2000,40132
Sri Lanka,2005,39526
Sri Lanka,2010,38959
Sri Lanka,2015,39706
Sri Lanka,2020,40254
Sri Lanka,2024,40698
Sub-Saharan Africa (UN),1990,13802710
Sub-Saharan Africa (UN),1995,14578211
Sub-Saharan Africa (UN),2000,13518102
Sub-Saharan Africa (UN),2005,14849146
Sub-Saharan Africa (UN),2010,15787016
Sub-Saharan Africa (UN),2015,20399360
Sub-Saharan Africa (UN),2020,22040895
Sub-Saharan Africa (UN),2024,24306400
Sudan,1990,1402896
Sudan,1995,1053396
Sudan,2000,805086
Sudan,2005,546419
Sudan,2010,618709
Sudan,2015,620523
Sudan,2020,1379147
Sudan,2024,2397113
Suriname,1990,18083
Suriname,1995,22320
Suriname,2000,27506
Suriname,2005,33662
Suriname,2010,39713
Suriname,2015,43127
Suriname,2020,47801
Suriname,2024,51902
Sweden,1990,784283
Sweden,1995,944802
Sweden,2000,1022156
Sweden,2005,1126971
Sweden,2010,1372074
Sweden,2015,1638195
Sweden,2020,2033902
Sweden,2024,2272158
Switzerland,1990,1252320
Switzerland,1995,1363586
Switzerland,2000,1484514
Switzerland,2005,1740312
Switzerland,2010,2053953
Switzerland,2015,2385713
Switzerland,2020,2610189
Switzerland,2024,2773840
Syria,1990,714140
Syria,1995,830610
Syria,2000,834916
Syria,2005,882398
Syria,2010,1783595
Syria,2015,835716
Syria,2020,868711
Syria,2024,896042
Taiwan,1990,66378
Taiwan,1995,246682
Taiwan,2000,450366
Taiwan,2005,548367
Taiwan,2010,587646
Taiwan,2015,866324
Taiwan,2020,1055191
Taiwan,2024,1136425
Tajikistan,1990,428900
Tajikistan,1995,348347
Tajikistan,2000,299499
Tajikistan,2005,280466
Tajikistan,2010,279808
Tajikistan,2015,275101
Tajikistan,2020,276031
Tajikistan,2024,276777
Tanzania,1990,574025
Tanzania,1995,1106043
Tanzania,2000,949600
Tanzania,2005,771153
Tanzania,2010,309847
Tanzania,2015,384567
Tanzania,2020,426017
Tanzania,2024,462371
Thailand,1990,287933
Thailand,1995,271568
Thailand,2000,771234
Thailand,2005,1705845
Thailand,2010,2640454
Thailand,2015,2853248
Thailand,2020,3015007
Thailand,2024,3179399
Togo,1990,84844
Togo,1995,101583
Togo,2000,137968
Togo,2005,204219
Togo,2010,255564
Togo,2015,277384
Togo,2020,279936
Togo,2024,281994
Tokelau,1990,360
Tokelau,1995,506
Tokelau,2000,712
Tokelau,2005,1003
Tokelau,2010,1128
Tokelau,2015,1185
Tokelau,2020,1238
Tokelau,2024,1282
Tonga,1990,2911
Tonga,1995,3274
Tonga,2000,3684
Tonga,2005,4301
Tonga,2010,4607
Tonga,2015,3954
Tonga,2020,3742
Tonga,2024,3581
Trinidad and Tobago,1990,50666
Trinidad and Tobago,1995,45994
Trinidad and Tobago,2000,41753
Trinidad and Tobago,2005,44812
Trinidad and Tobago,2010,48226
Trinidad and Tobago,2015,50021
Trinidad and Tobago,2020,78849
Trinidad and Tobago,2024,113478
Tunisia,1990,37984
Tunisia,1995,37867
Tunisia,2000,36719
Tunisia,2005,35040
Tunisia,2010,43172
Tunisia,2015,56532
Tunisia,2020,60145
Tunisia,2024,63201
Turkey,1990,1159415
Turkey,1995,1220898
Turkey,2000,1279019
Turkey,2005,1345188
Turkey,2010,1420433
Turkey,2015,3750982
Turkey,2020,6580295
Turkey,2024,7083501
Turkmenistan,1990,306500
Turkmenistan,1995,273565
Turkmenistan,2000,219067
Turkmenistan,2005,213053
Turkmenistan,2010,197979
Turkmenistan,2015,196376
Turkmenistan,2020,194920
Turkmenistan,2024,193763
Turks and Caicos Islands,1990,5062
Turks and Caicos Islands,1995,7039
Turks and Caicos Islands,2000,9015
Turks and Caicos Islands,2005,13115
Turks and Caicos Islands,2010,17216
Turks and Caicos Islands,2015,22723
Turks and Caicos Islands,2020,25748
Turks and Caicos Islands,2024,28455
Tuvalu,1990,318
Tuvalu,1995,263
Tuvalu,2000,218
Tuvalu,2005,209
Tuvalu,2010,220
Tuvalu,2015,230
Tuvalu,2020,239
Tuvalu,2024,246
Uganda,1990,560570
Uganda,1995,666211
Uganda,2000,624296
Uganda,2005,637596
Uganda,2010,515055
Uganda,2015,823181
Uganda,2020,1776038
Uganda,2024,2057759
Ukraine,1990,6892920
Ukraine,1995,6172338
Ukraine,2000,5527087
Ukraine,2005,5050302
Ukraine,2010,4818767
Ukraine,2015,4915142
Ukraine,2020,4997387
Ukraine,2024,5064173
United Arab Emirates,1990,1302298
United Arab Emirates,1995,1795514
United Arab Emirates,2000,2373577
United Arab Emirates,2005,3218730
United Arab Emirates,2010,5446000
United Arab Emirates,2015,6859000
United Arab Emirates,2020,7184000
United Arab Emirates,2024,8157000
United Kingdom,1990,3664896
United Kingdom,1995,4173053
United Kingdom,2000,4747902
United Kingdom,2005,5989992
United Kingdom,2010,7713303
United Kingdom,2015,9071431
United Kingdom,2020,10520870
United Kingdom,2024,11845479
United States,1990,23266147
United States,1995,28525723
United States,2000,34806848
United States,2005,39545828
United States,2010,43947211
United States,2015,47942986
United States,2020,50471028
United States,2024,52375047
United States Virgin Islands,1990,51970
United States Virgin Islands,1995,54241
United States Virgin Islands,2000,56611
United States Virgin Islands,2005,56647
United States Virgin Islands,2010,56684
United States Virgin Islands,2015,56721
United States Virgin Islands,2020,56753
United States Virgin Islands,2024,56779
Upper-middle-income countries,1990,29851307
Upper-middle-income countries,1995,27182398
Upper-middle-income countries,2000,26262682
Upper-middle-income countries,2005,27491706
Upper-middle-income countries,2010,30806821
Upper-middle-income countries,2015,36096086
Upper-middle-income countries,2020,43303132
Upper-middle-income countries,2024,48715743
Uruguay,1990,98116
Uruguay,1995,93428
Uruguay,2000,88874
Uruguay,2005,82317
Uruguay,2010,76303
Uruguay,2015,78799
Uruguay,2020,108267
Uruguay,2024,160064
Uzbekistan,1990,1653000
Uzbekistan,1995,1512577
Uzbekistan,2000,1406498
Uzbekistan,2005,1329932
Uzbekistan,2010,1220149
Uzbekistan,2015,1170873
Uzbekistan,2020,1162007
Uzbekistan,2024,1154963
Vanuatu,1990,2308
Vanuatu,1995,2461
Vanuatu,2000,2626
Vanuatu,2005,2800
Vanuatu,2010,2991
Vanuatu,2015,3186
Vanuatu,2020,3257
Vanuatu,2024,3315
Vatican,1990,726
Vatican,1995,705
Vatican,2000,691
Vatican,2005,659
Vatican,2010,621
Vatican,2015,572
Vatican,2020,528
Vatican,2024,496
Venezuela,1990,1025009
Venezuela,1995,1019996
Venezuela,2000,1013738
Venezuela,2005,1076474
Venezuela,2010,1347347
Venezuela,2015,1404448
Venezuela,2020,1324193
Venezuela,2024,1263304
Vietnam,1990,88560
Vietnam,1995,88376
Vietnam,2000,86213
Vietnam,2005,81997
Vietnam,2010,84408
Vietnam,2015,101386
Vietnam,2020,200639
Vietnam,2024,326418
Wallis and Futuna,1990,1402
Wallis and Futuna,1995,1704
Wallis and Futuna,2000,2015
Wallis and Futuna,2005,2191
Wallis and Futuna,2010,2111
Wallis and Futuna,2015,2050
Wallis and Futuna,2020,2040
Wallis and Futuna,2024,2032
Western Africa (UN),1990,4476686
Western Africa (UN),1995,5350182
Western Africa (UN),2000,5254826
Western Africa (UN),2005,6000026
Western Africa (UN),2010,6413896
Western Africa (UN),2015,7206050
Western Africa (UN),2020,7747495
Western Africa (UN),2024,8236829
Western Asia (UN),1990,14489476
Western Asia (UN),1995,16497765
Western Asia (UN),2000,18138496
Western Asia (UN),2005,21262754
Western Asia (UN),2010,30063216
Western Asia (UN),2015,41799209
Western Asia (UN),2020,45765868
Western Asia (UN),2024,49211670
Western Europe (UN),1990,17019914
Western Europe (UN),1995,20263560
Western Europe (UN),2000,21781702
Western Europe (UN),2005,24134692
Western Europe (UN),2010,25952723
Western Europe (UN),2015,28688766
Western Europe (UN),2020,32846290
Western Europe (UN),2024,36742379
Western Sahara,1990,2688
Western Sahara,1995,2989
Western Sahara,2000,3289
Western Sahara,2005,3891
Western Sahara,2010,4493
Western Sahara,2015,5179
Western Sahara,2020,5424
Western Sahara,2024,5628
World,1990,153854403
World,1995,163115483
World,2000,174501851
World,2005,192717780
World,2010,220942811
World,2015,249959713
World,2020,275199945
World,2024,303936274
Yemen,1990,118863
Yemen,1995,136515
Yemen,2000,144940
Yemen,2005,171871
Yemen,2010,288394
Yemen,2015,379882
Yemen,2020,387113
Yemen,2024,392997
Zambia,1990,279463
Zambia,1995,244338
Zambia,2000,343703
Zambia,2005,252895
Zambia,2010,149962
Zambia,2015,132107
Zambia,2020,187955
Zambia,2024,249205
Zimbabwe,1990,634621
Zimbabwe,1995,431226
Zimbabwe,2000,410109
Zimbabwe,2005,402226
Zimbabwe,2010,398307
Zimbabwe,2015,400482
Zimbabwe,2020,416141
Zimbabwe,2024,429108
